Teks_Komentar,teks_final
"Jadi pertanyaan... Kenapa Pasport Indonesia itu Lemah, misalnya dibanding Pasport Singapore?",pasport indonesia lemah banding pasport singapore
"setuju qna terus bisa dikapitalisasi dalam bentuk digital download, membership youtube, atau youtube yang bukan membership.",tuju qna kapital bentuk digital download membership youtube youtube membership
"YG GUA SUKA DARI BANG PANDJI ITU DIA EMANG GAK PILIH PRAGIB, TAPI DIA ITU SANGAT OBJEKTIF DALAM MENILAI PEMERINTAHAN.  DIA KRITIK BUKAN KARENA BENCI, DIA KRITIK KARENA EMANG GAK BENER AJA. BUKAN KYK ORG2 TWITTER, MEREKA INI BUKAN KRITIK LAGI TAPI MEMBENCINYA SAMPE KEK AKAR2NYA WKWKWK.  SAMPE VOTERS-NYA 02 JUGA DISERANG ABIS2, ARTIS2 YG MENDUKUNG 02 JUGA MEREKA SURUH BOIKOT HAHAHAHA. IDIET",suka pandji pilih pragib objektif nilai perintah kritik benci kritik kayak orangorang twitter kritik benci kayak akar votersnya serang habishabis artisartis dukung suruh boikot hahahaha idiet
"Relate banget bang Pandji, di kita sendiri aja, saya yg sudah puluhan tahun kerja di kota besar, begitu dpt kerja ke daerah seperti sekarang, kebingungan, karena ga ada sistem, mau buat sistem, sulit, sdmnya kurang",relate banget pandji puluh kerja kota kerja daerah bingung sistem sistem sulit sdmnya
"gak usah jauh jauh , yang ngomong kan udah kaburajadulu duluan",omong kaburajadulu duluan
"yg tidak nasionalis adalah orang2 dan lembaga2 yg MEMBUAT warga2 Indonesia menjadi KABUR AJA DULU, bahkan sy bilang mrk adalah IBLIS !!!",nasionalis orangorang lembaga warga indonesia kabur bilang iblis
Gak setuju bang Biar beda aja 🤣,tuju beda tertawaterbahakbahak
setuju sama panji,tuju panji
setujuu bangg!! cant waitt in Surabayaa,tuju cant wait surabaya
ekonomi beneran susah? kok temen gua lancar aja yak,ekonomi susah teman lancar
"Mau nanya dong, kali aja ada yg bisa ngasih saran atau apa lah terserah. Mending nunggu DD mensrea rilis (kalo ada) atau nonton via streaming? Soalnya rumah gw jauh kemana"" dari lokasi stage nya🙏  Buat yg bilang ""mending dua-duanya"" gw sumpahin tiket lu kebakar jadi ga bisa nonton lu",kali asih saran serah mending tunggu mensrea rilis tonton via streaming rumah gue lokasi stage nyamelipattangan bilang mending duaduanya gue sumpahin tiket bakar tonton
"Loe aja sdh kabur duluan Bang Pandji... sy tahu alasan loe, yaitu utk masa depan anak loe yg lbh baik. Sy jg lakukan hal yg sama... 😅😅😅",kabur duluan pandji alas anak laku wajahtersenyumlebardanberkeringatwajahtersenyumlebardanberkeringatwajahtersenyumlebardanberkeringat
"Klo menurut gua salah satu hasil sukses dari kabur aja dulu ada di sepak bola. Sekarang banyak ""produk asing"" yang berhasil mengangkat kualitas sepak bola kita sampai sejauh ini. Dan kita semua tau nasionalisme mereka seperti apa walau bukan lahir di negara kita tercinta ini. Semoga semakin banyak produk2 unggulan ini di bidang lain juga sehingga mengangkat negara ini menjadi lebih baik.",salah hasil sukses kabur sepak bola produk asing hasil angkat kualitas sepak bola nasionalisme lahir negara cinta moga produk unggul bidang angkat negara
Ingat Prabowo aja pernah kabur ke Yordania pulang bikin partai 😂...,prabowo kabur yordania pulang bikin partai wajahgembiraberuraiairmata
setuju ada tanya jawab untuk interaksi dengan audiens,tuju interaksi audiens
"Bang lu stop deh jelasin kaburajadlu in football term😂 soalnya di sepakbola konteksnya jadi beda 🙏🏼😅  Marselino ferdinan main di oxford div championship inggris. Apakah dia mau pulang ke indo klo ada gaji yg lebih gede? Keknya gak mau sih karna sekarang pun klo dia balik ke liga1, duitnya pasti lebih gede. Belum lagi iklanya banyak.. Tapi nyatanya dia milih struggle di inggris dgn gaji pas pas an😅",stop deh jelasin kaburajadlu footbal termwajahgembiraberuraiairmata sepakbola konteks beda melipattanganwarnakulitcerahsedangwajahtersenyumlebardanberkeringat marselino ferdinan main oxford div championship inggris pulang indonesia gaji gede kayak liga duit gede iklanya nyata pilih struggle inggris gaji pas pas anwajahtersenyumlebardanberkeringat
"ga disalahin kalo belom mau balik, lah negara ga bisa jamin keamanan ekonomi mereka,  udah bener kabur dulu ntar kalo negara udah sehat baru balik.",disalahin negara jamin aman ekonomi kabur entar negara sehat
Sipanji KAbur ke Amerika gak lama udah balik aja  ke indo . Kehabisan duit ya di Amerika 😆🤣,sipanji kabur amerika indonesia habis duit amerika wajahtersenyumlebardanmemejamkanmatatertawaterbahakbahak
pemerintah buruk,perintah buruk
"99% Pengikut kabur aja dulu dari kota besar yang seumur hidupnya gak pernah MERANTAU. Wkwkw, begitu sentralistiknya ekonomi kita, sampai mereka ga punya visi daerah lain juga ada peluang. Dari dulu Merantau itu konsepnya super sama gak ada bedanya. Makanya kalau mikir sedikit kabur aja bisa banget kok dari kota ke daerah lain. dari yang katanya sdm maju ke daerah yang sdm rendah, masa gak sukses?? Yang pasti Merantau itu baik banget, asal jangan dalam tempurung, Luar negeri mulu pemikirannya.",kabur kota umur hidup rantau sentralistiknya ekonomi visi daerah peluang rantau konsep super beda mikir kabur banget kota daerah sdm maju daerah sdm rendah sukses rantau banget tempurung negeri mulu pikir
"saya aja kalo ada kesempatan ke eropa, brgkt saya...  indonesia saya cinta tp dg sistemnya nggk",eropa brgkt indonesia cinta sistem
Panji yg udah kabur ke new york gmn nih? 😁,panji kabur new york wajahgembiradenganmatabahagia
"satu contoh aja, pak habibie yg dulunya presiden aja hidup di luar negeri saking kecewanya",contoh habibie dulunya presiden hidup negeri saking kecewa
"Kalau denger kata"" mas Pandji personally itu kaya ungkapan hati yang sulit keluar dari mulut. 👍trims mas",dengar mas pandji personally kayak hati sulit mulut jempolkeatasterima kasih mas
Iya aku jd tkw 15 thn diarab pas pulang  ' mau kerja lagi jadi prt jomplang banget gajinya   di LN part-time bisa dpt 10 jt di Indonesia  cuma buat mkn aja😢😢 itu juga tidak mencukupi,iya tkw arab pas pulang kerja prt jomplang banget gaji ln parttime juta indonesia sajawajahmenangiswajahmenangis
"Gak kuliah, underqualified. Kuliah, job market penuh. Kuliah luar negeri/S2, overqualified dan gk ada yang mau/bisa bayar… ya itulah reality nya",kuliah underqualified kuliah job market penuh kuliah neger overqualified maubisa bayar reality
Setuju Q&A bang!,tuju kua
"Setuju bang, biar sedikit interaktif",tuju interaktif
di sini pramugari aja korupsi uang taxi bang  wkwkwk,pramugari korupsi uang taxi
setuju bgtt ada qna abis nongton bang,tuju banget qna habis nongton
SETUJU! harus ada QnA!,tuju qna
Setuju bang. Tp kayak bang radit aja bang bacain pertanyaan2 penonton gitu,tuju kayak radit bacain tonton
Mas pandji sendiri kan kabur juga ke new york... Hehehe,mas pandji kabur new york hehehe
"gw semakin hari semakin males lihat dan denger berita , bikin hati nangis menjerit rasanya.....",gue malas lihat dengar berita bikin hati menang jerit
"Saya asli bandung, abis lulus kuliah thn 92 langsung masuk pertamina. Banyak orang bilang enak ya jadi orang pertamina, tapi setelah 15 tahun, enough is enough!  Cape sama lingkungan yg sangat birokratis, penuh intrik politik dan koruptif. Akhirnya kabur ke Ausie, Alhamdulillah sudah ganti passport dari lambang garuda ke kangguru. Penghasilan ngga lebih tinggi dari pertamina, tapi hidup tenang, high quality of life dan good work balance. Anak2 pendidikan terjamin dan saya bisa banyak waktu buat mereka....Alhamdulillah wa syukurillah. Dibilang tdk nasionalis juga nggak apa2 deh..",asli bandung habis lulus kuliah langsung masuk pertamina orang bilang enak orang pertamina enough enough capek lingkung birokratis penuh intrik politik koruptif kabur ausie alhamdulillah ganti passport lambang garuda kangguru hasil pertamina hidup tenang high quality life good work balance anakanak didik jamin merekaalhamdulillah wa syukurillah bilang nasionalis apaapa deh
"Buat apa nasionalis kalo perut lapar, ekonomi sulit. Persetan ama negeri ini, hiduplah dgn caramu!",nasionalis perut lapar ekonomi sulit persetan negeri hidup
Prabowo juga kabur aja dulu ke Yordania  Chuaaakss,prabowo kabur yordania chuaaaks
"keadilan sosial bagi seluruh rakyat indonesia is like a myth mas, sila ke 5 adanya di singapura wkwk",adil sosial rakyat indonesia like myth mas sila singapura
"Kayaknya bukan masalah ada yang mendiskreditkan prabowo-gibran, tapi lebih ke akumulasi kekecewaan sama pemerintah selama (mungkin) lebih dari lima-sepuluh tahun. Still, emang gak bisa dipungkiri bakal ada yang diuntungkan/ingin ngeganggu pemerintahan dari prabowo-gibran",kayak diskredit prabowogibran akumulasi kecewa perintah limasepuluh stil dipungkiri diuntungkaningin ngeganggu perintah prabowogibran
kek sodara wa. dapet beasiswa keluar negeri dr pemerintah. bener2 sampe beres kuliah. dah gitu disuruh pulang dan dianggurin hampir 1 tahun. sampe akhirnya tanya sama mantan atasannya yg diluar negeri dan di ajak kerja lagi di sana. akhir cerita dia ngutang ke bbrp orang untuk membayar biaya beasiswanya agar bisa bebas kerja diluar. ga sampe 2 tahun beres itu utang ke orang2. dan hidupnya sudah lumayan skrg. biarlah mereka keluar untuk mencari nafkah disana toh secara devisanya pun balik ke indonesia. yg bikin masalah di kita itu. untuk kerjaan2 sederhana aja syaratnya terlalu tinggi. karena apa? karena untuk lulus dr univ di sini itu terlalu gampang. hampir semua univ disini mementingkan kecepatan lulus dari univ dibandingkan kompetennya lulusan. dah gitu pemerintah memberi beasiswa dengan syarat balik ke indonesia. tapi tidak menyiapkan pekerjaan - pekerjaan apa yg harus dilakukan setelah lulus. masak habis selesai kuliah disuruh pulang tapi dianggurkan begitu saja tanpa ada penghasilan hampir 1 tahun. 1 lagi kalo ini temen. dia sudah diundang balik ke indo untuk kerja di bumn. eh begitu pulang ternyata slotnya sudah terisi oleh orang lain. yg usut punya usut ternyata salah satu keluarga dr manajernya.,kayak sodara wa beasiswa negeri perintah benarbenar beres kuliah deh suruh pulang dianggurin mantan negeri ajak kerja cerita ngutang orang bayar biaya beasiswa bebas kerja beres utang orangorang hidup lumayan cari nafkah devisa indonesia bikin kerja sederhana syarat lulus universitas gampang universitas cepat lulus universitas banding kompeten lulus deh perintah beasiswa syarat indonesia kerja kerja laku lulus masak habis selesai kuliah suruh pulang anggur hasil teman undang indonesia kerja bumn eh pulang nyata slotnya isi orang usut usut nyata salah keluarga manajer
Pak Prabowo kabur juga dulu😅😅😅,prabowo kabur duluwajahtersenyumlebardanberkeringatwajahtersenyumlebardanberkeringatwajahtersenyumlebardanberkeringat
"saran saya buat MENSREA, panggil penonton buat ngasih hot take tentang politik, mas pandji agree or disagree and debate it, mungkin bisa mirip mas raditya dika yg pake kertas nulis di awal sebelum pertunjukan, atau on the spot, karna klo QNA pertanyaan nya ga akan terfilter, kemungkinan pertanyaan yg kurang atau tinggl google aja ketemu bakal muncul, walopun ga salaah, tapi yaaaaa....",saran mensrea panggil tonton asih hot take politik mas pandji agre orang disagre debate mas raditya dika pakai kertas tulis spot qna filter tinggal google ketemu muncul walopun salaah
"Kenapa mesti pakai kata ""dulu"" ya? Kesannya kaburnya ga niat bgt gitu, kaya mau balik lagi. Ga semua yg pergi keluar pasti berhasil dan hidupnya jd lebih baik.. Kalo bilang mau kabur tuh jadinya beban bgt dan bakal malu nanti kalo balik lagi ke Indonesia dan dalam keaadan tidak sukses.. Kita harus belajar dari pengalaman bang Panji di New York",mesti pakai kesan kabur niat banget kayak pergi hasil hidup bilang kabur beban banget malu indonesia keaadan sukses ajar alam panji new york
KABUR AJA DULU karena INDONESIA GELAP,kabur indonesia gelap
setuju buat QnA,tuju qna
Bang pandji.. Pertamina dikorupsi lagi.. Beritanya muncul tadi pagi. Siapa tau bang pandji mau bahas..  Kita sebagai rakyat cuma menunggu pemerintah segera luluskan UU tipikor,pandji pertamina korupsi berita muncul pagi pandji bahas rakyat tunggu perintah lulus u tipikor
Konoha crisis social distortion !!,konoha crisis social distortion
Kabur aja dulu untuk cari kerja di luar negeri itu bagus untuk merubah nasib,kabur cari kerja negeri bagus rubah nasib
KABUR AJA DULU LEBIH KE GA USAH BINGUNG HIDUP DI LUAR NEGARA INDONESIA YG PENTING KABUR AJA DULU ... ITU SIH BAGI GW,kabur bingung hidup negara indonesia kabur gue
Setuju bg adain QnA,tuju qna
Setuju qna,tuju qna
"Sama kayak saya yang udah lama ngerantau ke jakarta dari salatiga, udah ngerasain gimana luasnya peluang kerja di jakarta, salary yang lebih bagus, fasum lebih memadai, trus pas pengen balik lagi kerja di salatiga mikirin UMR nya ga ada setengahnya jakarta, fasum yang sangat apa adanya, tentu saya milih mending bertahan di jakarta. Itu baru perbandingan salatiga jakarta, masih satu negara, gimana yang udah beda negara.",kayak ngerantau jakarta salatiga rasai luas peluang kerja jakarta salary bagus fasum pas pengin kerja salatiga pikir umr jakarta fasum pilih mending tahan jakarta banding salatiga jakarta negara beda negara
"Kalau menurut gw ya bang, QnA boleh diadakan selama tidak mengurangi durasi stand upnya. soalnya bagi gw pribadi yg udh beli tiket Mens Rea di JKT, gw pengen menikmati materi yg lu bawakan, sekaligus dapet pencerahan tentang politik karena pasti banyak ilmunya. Lagian kalo ada QnA, gimana nyortir pertanyaan2 yg berbobot dan relate ke banyak orang? mau tiap penonton nulis pertanyaan di kertas pun pasti akan susah nyortirnya karena banyak (apalagi penonton show yg di Jkt). Gw rela kok dengerin lu ngoceh full selama show karena itu yg gw cari 😂 anyway terima kasih utk para member🙏",gue qna durasi stand upnya gue pribadi beli tiket mens rea jakarta gue pengin nikmat materi bawa cerah politik ilmu qna nyortir bobot relate orang tonton tulis kertas susah nyortirnya tonton show jakarta gue rela dengar oceh ful show gue cari wajahgembiraberuraiairmata anyway terima kasih membermelipattangan
"program bayangan pak presiden agar merasakan kabur aja dulu seperti beliau dan berhasil di posisi sekarang ini, gerrr",program bayang presiden kabur beliau hasil posisi ger
"Jangankan levels atas mas Panji, level TKW sj mereka ibu2 lebih betah diLN drpd di tanah ibu pertiwi. Sama2 ngosek WC,sama2 cuci baju,gosok baju, masak dll dll  gaji diLN puluhan juta (minim 7jt)  Kalo diDN gaji mentok 3 atw 5jt.  Dgn gaji besar ibu2 bs sejahterakan klrg, sandang pangan tercukupi. Papan (bangun rumah ) impian. sekolahin anak sampe sarjana,  dll dll Memang perih dan gelap hari2 dilewati tnpa kumpul keluarga. Tapi demi sebuah harapan smg masa depan anak2 lebih cerah dpr ibunya.",levels mas panji level tkw ibuibu betah diln tanah pertiwi samasama ngosek wcsamasama cuci bajugosok baju masak dl dl gaji diln puluh juta minim jt gaji mentok jt gaji ibuibu sejahtera klrg sandang pangan papan bangun rumah impi sekolah anak sarjana dl dl perih gelap harihari kumpul keluarga buah harap moga anakanak cerah dpr
QnA setujuuuuu,qna tuju
"pemerintah memantau perkembangannya para warga nya diluar.terbukti profesor stela karir bagus di panggil pulang untuk terlibat revisi pendidikan,atau bikin mereka mau kalau pensiun di Indonesia. para pensiun taruh ikn seperti florida rata2 tinggal di sana pensiunan orang yang merantau.",perintah pantau kembang warga diluarterbukti profesor stela karir bagus panggil pulang libat revisi pendidikanatau bikin pensiun indonesia pensiun taruh ikn florida ratarata tinggal pensiun orang rantau
"Apakah masih disebut""kabur"" jika diumumkan 🤔",disebutkabur wajahberpikir
"pernah kenal sama pak awal uzhara, sutradara dan 'eksil' 65 yg puluhan tahun tidak bisa pulang ke indonesia karena dianggap PKI, beliau pergi ke uni sovyet tahun 50an bareng sjumandjaja dan baru bisa pulang tahun 2012. nyamain sama gen z kelas menengah yg mau kabur ke luar negeri sama nasib2 eksil 65 mah gak elok sih, orang2 seperti pak awal itu gak kabur aja dulu, mereka diusur, diburu, diancam dibunuh kalo pulang.  terserah lah yah orang2 kaya dan kelas menengah berprivilage ini mau kabur kemanapun, tp ya sadar privialage aja, berapa gelintir orang yg bener2 bisa kabur keluar negeri sementara sisanya terpaksa mendekap seumur hidup di negara sialan ini. gausah gegayaan seolah2 klean eksil politik 65/98  kalo lo beneran bisa kabur keluar negeri dengan keadaan yg 'penuh privilage', dalam arti dapet kerjaan bagus , pergi ke negara yg bagus, dah punya penghidupan yg bagus, alih2 jadi buruh migran yg disiksa di taiwan atau uni emirat. besar kemungkinan bapak lo yg kaya jg yg bikin keadaan indonesia jd seburuk ini begini wkw  gw paham sih kenapa banyak orang yg nyinyirin hastag tsb, bukan karena embel2 gak nasionalis ato apa yah, tp lebih ke kesel aja, tipikal orang2 kaya yg mau kabur sendirian setelah bikin semuanya hancur.  kelas menengah mau kaburajadulu ke luar negeri, orang kaya mau kaburajadulu ke mars, padahal yg ngerusakin dunia kalian kalian jg.",kenal uzhara sutradara eksil puluh pulang indonesia anggap pki beliau pergi uni sovyet bareng sjumandjaja pulang gen kelas kabur negeri nasib eksil mah elok orangorang kabur usur buru ancam bunuh pulang serah orangorang kayak kelas berprivilage kabur sadar privialage gelintir orang benarbenar kabur negeri sisa paksa dekap umur hidup negara sial gegayaan olah klean eksil politik kabur negeri penuh privilage arti kerja bagus pergi negara bagus deh hidup bagus alih buruh migran siksa taiwan uni emirat kayak bikin indonesia buruk gue paham orang nyinyir hastag embel nasionalis kesel tipikal orangorang kayak kabur bikin hancur kelas kaburajadulu negeri orang kayak kaburajadulu mars ngerusakin dunia
Dulu kebanyakan yg kabur adl WN keturunan. Tp sekarang semua WN yang berpikir jernih.,kabur wn turun wn pikir jernih
setujuuuuuuuuuuuuuuuuuuuuuuuuuuu,tuju
"kalau mau punya penduduk gak mau kabur dan bisa nasionalis, sebisa mungkin kalian-kalian yg menjadi PEMBANTU PRESIDEN untuk lebih bertanggung jawab dan tidak mengedapankan kepentingan kalian sendiri, kenyataan disini adalah kepentingan di INDONESIA ini yg selalu didahulukan itu kalian-kalian lah para PEJABAT tanpa kami tahu yg sebagai ATASAN kalian untuk melihat TANGGUNG JAWAB kalian dalam mengemban JABATAN kalian itu dan KEBIJAKAN-KEBIJAKAN yg suka gonta ganti tanpa kejelasan akan TUJUANnya,",duduk kabur nasionalis kaliankalian bantu presiden tanggung mengedapankan nyata indonesia kaliankalian jabat lihat tanggung emban jabat kebijakankebijakan suka gonta ganti tuju
"""Kabur Aja Dulu "" = lari dari kenyataan😂",kabur lari kenyataanwajahgembiraberuraiairmata
Setuju qna,tuju qna
"Jujur bang, menurut aku orang luar AS/EROPA itu sangat menghargai EFFORT kita dalam bekerja, aku sebagai freelance desain grafis sangat merasakan hal itu, aku ada client orang luar yang dia itu salah satu karyawan di perusahaan, dan ngehire aku untuk kerjasama di bidang desain, aku sering disuruh untuk membuat desain yang menurut aku ""SANGAT SIMPEL"" tapi dia ngasih briefnya itu panjang, jelas, dan sangat effort banget lah dan dia berani BAYAR MAHAL untuk hal yang menurut aku ""SANGAT SIMPEL"" tersebut, dan ketika pekerjaannya selesai itu dia sangat berterima kasih dan muji-muji gitu lah intinya, padahal sekali lagi menurut aku desainnya sangat simpel tapi dia sangat menghargai effort kita dalam bekerja. Alhamdulillah.",jujur orang aseropa harga effort kerja freelance desain grafis client orang salah karyawan usaha ngehire kerjasama bidang desain suruh desain simpel asih briefnya effort banget berani bayar mahal simpel kerja selesai terima kasih mujimuji inti desain simpel harga effort kerja alhamdulillah
"setuju, ada QnA......saya dapet yang di denpasar",tuju qnasaya denpasar
"seorang yang dlabeli bocah2 ""kosong"" aja komplain sama apa yang mereka bayarkan yaitu pajak mereka sndiri protes sama hal yang terjadi di indonesia",orang dlabeli bocah kosong komplain bayar pajak protes indonesia
"setuju qna mensrea, kalo bisa direkam dan upload youtube jadi konten, kayak interaksinya show radit, soalnya penasaran pertanyaan kota lain 😁",tuju qna mensrea rekam upload youtube konten kayak interaksi show radit penasaran kota wajahgembiradenganmatabahagia
memang setiap zaman pasti ada minusnya pemerintah kita. tapi kalo sampai bilang pemerintah sekarang lebih baik dari sebelumnya. hmm..,zaman minus perintah bilang perintah hm
SETUJU QNA !!!,tuju qna
"Jangan Hiraukan ""kabur aja dulu"" Itu hanya isu/teori konspirasi pemerintah ""stay here, keep strong""",hirau kabur isuteori konspirasi perintah stay keep strong
"1:00 Setuju bang, biar malemnya bisa tidur lebih nyenyak...",tuju malemnya tidur nyenyak
"Pengen kabur itu sejak rezim gorong2 berkuasa 10th,ditambah malah berkelanjutan skrg,ya gmn gak makin semangat kaburnya 😂",pengin kabur rezim gorong kuasa thditambah sekarangya semangat kabur wajahgembiraberuraiairmata
"Salah satu Improvement yang perlu dilakukan => Kebanyakan Partai Politik di Indonesia, sehingga menyebabkan banyak kepentingan, banyak keputusan yang tidak untuk kemajuan sistem, banyak titipan, banyak korupsi, banyak jatah2 tertentu, banyak nopotisme, banyak pejabat yang Unqualified yg duduk di pemerintahan baik pusat / daerah, banyak...dll.",salah improvement laku partai politik indonesia putus maju sistem titip korupsi jatah nopotisme jabat unqualified duduk perintah pusat daerah banyakdl
Alasan terbesar kenapa ada hastag KaburAjaDulu adalah KETIDAK BECUSAN PEMERINTAH DALAM MEMBUAT KEBIJAKAN dan org2 yang udh menduduki posisi pemerintahan cenderung defensif g menerima kritikan karena mereka hidup udh enak g mikirin nasib rakyat kecil,alas hastag kaburajadulu becus perintah bijak orangorang duduk posisi perintah cenderung defensif terima kritik hidup enak pikir nasib rakyat
"Setuju banget, kebanyakan peristiwa diberita dulu udh bnyak cuma krn era sosmed jadi terang menderang kena lampu sorot 1000 watt🙄",tuju banget peristiwa berita era sosmed terang derang kena lampu sorot watwajahdenganmatakeatas
"gausah jauh2 bang, nanya yg dsekitar kita aja  mungkin bbrpa dr kita prnh punya temen/kenalan yg prnh krja dijepang, tanya aja mnding mana dengan indo jlas psti dia bilang disono kmna2  dan yg udh pulang dr jepang kebanyakan brangkat lg ksono",dsekitar temankenalan krja dijepang mending indonesia jlas bilang sono kmna pulang jepang brangkat ksono
"Dikritik dibilang ndasmu, warganya keluar negeri malah diusir, anak kecil bicara jujur ditakut2i jin botak, orang2 bermasalah disuruh ngurus 14rb trilyun tanpa pengawasan kpk, ayo rakyat indo smpe kapan pasrah ?",kritik bilang ndasmu warga negeri usir anak bicara jujur takut jin botak orangorang suruh urus rb trilyun awas kpk ayo rakyat indonesia pasrah
"Perbedaan SDM luar negeri khususnya AS dan Eropa itu sangat erat hubungannya dengan sejarah mereka sendiri. Kita tahu bahwa Eropa itu dari abad ke-8 s/d ke-20 M banyak sekali perang, revolusi, kelaparan, dan wabah terjadi silih berganti. Masyarakat Eropa dan AS itu sudah melewati seleksi alam yang ketat. Sehingga melahirkan tipikal masyarakat yang memiliki mental kritis dan maju. Karena leluhur mereka yang membayar itu semua melalui perang dan revolusi. Jangan bandingkan dengan leluhur bangsa kita, ketika VOC datang ke negara ini. Raja-raja dan bupati kita sendiri yang membiarkan dan memberi izin mendirikan benteng. Bahkan konon katanya Bupati dan Raja kita sendirilah yang menindas bangsanya sendiri demi uang dan kekuasaan dari penjajah.",beda sdm negeri khusus eropa erat hubung sejarah eropa abad sidi perang revolusi lapar wabah silih ganti masyarakat eropa seleksi alam ketat lahir tipikal masyarakat milik mental kritis maju leluhur bayar perang revolusi banding leluhur bangsa voc negara rajaraja bupati izin benteng konon bupati raja tindas bangsa uang kuasa jajah
"Emang susah banget hidup di negara yang pejabatnya lebih mikirin jabatan doang, kerjanya kureng.  Lebih spesifik untuk Pak Presiden,  ""Pak Prabowo, Kerja Aja Dulu, baru mikirin pilpres 2029, baru seratus hari mikirin nyapres"".",susah banget hidup negara jabat pikir jabat doang kerja reng spesifik presiden prabowo kerja pikir pilpres ratus pikir nyapres
"Kayaknya kabur dulu jaman dulu memang benar2 kabur, tapi sekarang ‘kabur aja dulu’ lebih ke lowongan pekerjaan yg minim juga persyaratan yg njlimet",kayak kabur jaman benarbenar kabur kabur lowong kerja minim syarat njlimet
berak aja dulu sebelum kabur aja dulu,berak kabur
Kabur saja jika dlm nkri cuma buat rusuh .. Nkri butuh pejuang2 bukan pencundang... Anak2 gaza rela dibom nuklir As daripada kabur dari gaza... Memalukan,kabur nkri rusuh nkri butuh juang cundang anakanak gaza rela bom nuklir kabur gaza malu
Ga setuju gua ama program bergizi gratis cmn buang buang anggaran dan ga tepat sasaran,tuju program gizi gratis cuman buang buang anggar sasar
"btw yang bobrok bukan pemerintah doang ,tapi dari atas sampai bawah emng bobrok",btw bobrok perintah doang bobrok
"4:35 Setauku sih para eksil itu BUKAN KABUR ya, nji! Dia sudah berangkat untuk kuliah ke luar negeri di era Sukarno. Dan mereka dikirim sekolah untuk kemudian membangun Indonesia setelah lulus. Setelah ada geger 1965, mereka yang sekolah di negara2 komunis kehilangan kewarganegaraan. Mereka juga pengen pulang, ndji! Bukan kabur, tapi ""rumahnya dihilangkan"" oleh rezim Suharto! Tonton film EKSIL deh!",eksil kabur nji berangkat kuliah negeri era sukarno kirim sekolah bangun indonesia lulus geger sekolah negara komunis hilang kewarganegaraan pengin pulang ndji kabur rumah hilang rezim suharto tonton film eksil deh
"Kalo masih beliin pemerintah dengan dalih masih dalam proses, Singapura tahun 90 an setara dengan Indonesia di periode yg sama, Malaysia juga sama. Tp sekarang kita ketinggalan. Itu artinya ada yg salah dengan pemerintah. Ga usah yg lama, kasus terbaru, Vietnam, sebelum 2010 Indonesia jauh di atas Vietnam, sekarang mereka setara dengan kita. Padahal secara demografi kita jauh unggul. Tp kenapa sekarang mereka mulai membalas kita.",belikan perintah dalih proses singapura tara indonesia periode malaysia tinggal arti salah perintah vietnam indonesia vietnam tara demografi unggul balas
"1945 - 1965 : merdeka, Nasakom. 1966 - 1998 : pembangunan, KKN. 1998 - 2004 : reformasi, transisi. 2024 - 2014 : reformasi , auto pilot. 2014 - 2024 : reformaTi, Mahkaman Keponakan, PSN. 2024 - ???? : reformaTi, berkelanjutan, omon2, Indonesia Gelap, kabur saja dulu, coba2, dll.  Buat anak kok coba-coba. ❌ Buat negara kok coba-coba (trial & error kebijakan). ✅",merdeka nasakom bangun kkn reformasi transisi reformasi auto pilot reformati mahkaman keponakan psn reformati omon indonesia gelap kabur coba dl anak cobacoba tandasilang negara cobacoba trial error bijak tandacentangputihtebal
Lama kelamaan Indonesia akan seperti india. Dimana s1 dan s2 nya byk yg kerja jadi tukang sapu jalanan. Karena saking sulitnya nyaru kerja yg layak. Kalah dg suap dan orang dalam.,indonesia india kerja tukang sapu jalan saking sulit saru kerja layak kalah suap orang
"yah skrg emang banyak istilah n hashtag, n cpet viral karena banyak orang fomo n bener bgt sih sebenernya peristiwa/fenomena dll pasti dah banyak terjadi di masa lalu, cuman ya gk disorot aja makanya gk sengeTren sekarang but di satu sisi, ini jg one step ahead buat ngekritik n ngerubah pemerintah sih, karena gaungnya keras apalagi didukung demo para Mhs kemaren. semoga ini menuju ke awal yang baik  btw kalo ngomongin bang pandji standup bawa indo di LN, ya sama kaya si dedy cahyadi. dia kyknya juara sulap di LN, tapi ya gada yg liput or tau di indo...",istilah n hashtag n cepat viral orang fomo n banget peristiwafenomena dl deh cuman sorot sengetren sisi one step ahead ngekritik n ngerubah perintah gaung keras dukung demo mhs kemarin moga tuju btw omong pandji standup bawa indonesia ln kayak dedy cahyadi kayak juara sulap ln liput orang indonesia
