Teks_Komentar,teks_final,sentiment
"maaf ya .. SEBAIKNYA mulut dan tindakan HARUS SAMA … justru mas panji BUKTI kabur aja dulu ITU GAGAL … di teruskan new york nya, apapun alasan TERKADANG ORANG LUPA .. mulut DI BANDING Kualitas Dirinya",maaf mulut tindak mas panji bukti kabur gagal new york alas terkadang orang lupa mulut banding kualitas,Negatif
"3:15 pemerintah kaya anti banget sama minta maaf, se batu itu kah hati nya",pemerintah kaya anti banget maaf batu kah hati,Positif
Sudah 2 kenalan saya yg Anak  mereka dapat beasiswa di Singapura.  Kemudian dia ditawarin kerja disana. Gaji dan fasilitas nya bagus. Saat saya tanya apakah dia akan balik ke Indonesia?  Dia bilang TIDAK. dia berharap untuk bisa jadi warga Singapura.  Sudah,kenal anak beasiswa singapura ditawarin kerja gaji fasilitas bagus indonesia bilang tidak harap warga singapura,Positif
"Kartono bang, sedih itu bang pas balik Indo dicap kiri😢😢😢",kartono sedih pas indo cap kiri,Positif
"disini nasionalis cuma diukur dari pake baju batik, suka dangdut dan lagu indo, dan tinggal di indo. padahal nasionalisme itu kan ideologi yang datangnya dari hati ya, ga bisa diukur dari hal kek gitu",nasionalis ukur pakai baju batik suka dangdut lagu indo tinggal indo nasionalisme ideologi hati tidak ukur gitu,Positif
"Beberapa faktor yang menyebabkan paspor Indonesia lemah dibandingkan dengan paspor negara Singapura, Jepang, dan lainnya adalah:  - *Jumlah kebebasan visa*: Semakin banyak kebebasan visa yang dimiliki oleh sebuah negara, maka semakin kuat paspornya. Indonesia masih memiliki jumlah kebebasan visa yang relatif sedikit dibandingkan dengan negara-negara lain di Asia Tenggara.¹ - *Persepsi internasional*: Persepsi internasional terhadap warga negara Indonesia juga mempengaruhi kekuatan paspor. Faktor-faktor seperti Human Development Index (HDI) dan tingkat keamanan juga berperan dalam membentuk persepsi internasional. - *Tingkat perekonomian*: Negara-negara dengan perekonomian yang kuat cenderung memiliki paspor yang lebih kuat. Indonesia masih memiliki tingkat perekonomian yang relatif rendah dibandingkan dengan negara-negara lain di Asia Tenggara. - *Tingkat keamanan*: Negara-negara dengan tingkat keamanan yang tinggi cenderung memiliki paspor yang lebih kuat. Indonesia masih memiliki tingkat keamanan yang relatif rendah dibandingkan dengan negara-negara lain di Asia Tenggara.  Dengan demikian, paspor Indonesia masih memiliki beberapa kelemahan yang perlu diperbaiki untuk meningkatkan kekuatannya.",faktor paspor indonesia lemah banding paspor negara singapura jepang bebas visa bebas visa milik buah negara kuat paspor indonesia milik bebas visa relatif banding negara negara asia tenggara persepsi internasional persepsi internasional hadap warga negara indonesia pengaruh kuat paspor faktor faktor human development index hdi tingkat aman peran bentuk persepsi internasional tingkat ekonomi negara negara ekonomi kuat cenderung milik paspor kuat indonesia milik tingkat ekonomi relatif rendah banding negara negara asia tenggara tingkat aman negara negara tingkat aman cenderung milik paspor kuat indonesia milik tingkat aman relatif rendah banding negara negara asia tenggara paspor indonesia milik lemah tingkat kuat,Positif
From xxx to makkah apa termasuk kabur aja dulu bang?,xxx makkah masuk kabur,Netral
2006 sampai saat ini gue cari nafkah di luar tanah air Indonesia Pusaka ❤,cari nafkah luar tanah air indonesia pusaka,Positif
"Kabur aja dulu itu hastag nya buzzer wkwkwkwk kabur aja dulu, lah lu enak punya akses, emang lu TKI. Lah gua? Naik pesawat aja ga pernah..  Gw bisa bilang bgini karna gw tau negara ini isinya bukan cuma gua. Ada org Malaysia, ada org Amerika, yg kalo ngetik komen, ga ketauan logatnya.  Ambil contoh partai yg kalah pilpres, yg menang pilpres dia ada dipemerintahan. Lah yg kalah pilpres ngapain coba? Diem aja jadi anak penurut gtu? Wkwkwkkwkwkwk",kabur hastag buzzer hahaha kabur enak akses emang tki pesawat tidak bilang bgini negara isi tidak ada orang malaysia ada orang amerika etik komen tidak logat ambil contoh partai kalah pilpres menang pilpres ada perintah kalah pilpres ngapain coba diam anak gtu wkwkwkkwkwkwk,Negatif
"Jadi pertanyaan... Kenapa Pasport Indonesia itu Lemah, misalnya dibanding Pasport Singapore?",paspor indonesia lemah banding paspor singapore,Netral
Cari kerja di indo harus punya uang dan ordal biar mudah,cari kerja indo uang ordal mudah,Positif
"YG GUA SUKA DARI BANG PANDJI ITU DIA EMANG GAK PILIH PRAGIB, TAPI DIA ITU SANGAT OBJEKTIF DALAM MENILAI PEMERINTAHAN.  DIA KRITIK BUKAN KARENA BENCI, DIA KRITIK KARENA EMANG GAK BENER AJA. BUKAN KYK ORG2 TWITTER, MEREKA INI BUKAN KRITIK LAGI TAPI MEMBENCINYA SAMPE KEK AKAR2NYA WKWKWK.  SAMPE VOTERS-NYA 02 JUGA DISERANG ABIS2, ARTIS2 YG MENDUKUNG 02 JUGA MEREKA SURUH BOIKOT HAHAHAHA. IDIET",suka pandji emang tidak pilih pragib objektif nilai perintah kritik tidak benci kritik emang tidak bener aja tidak org twitter tidak kritik benci akar voters serang abis artis dukung suruh boikot hahahaha idiet,Netral
"Relate banget bang Pandji, di kita sendiri aja, saya yg sudah puluhan tahun kerja di kota besar, begitu dpt kerja ke daerah seperti sekarang, kebingungan, karena ga ada sistem, mau buat sistem, sulit, sdmnya kurang",relate banget pandji aja puluh kerja kota kerja daerah bingung tidak ada sistem sistem sulit sdmnya,Positif
"Setinggi apapun strata pendidikan mu,kalo blm bisa menguasai 5 bahasa binatang dan jin,dan tinggi kurang dr 2 meter,ga mudah dpt kerja di Indonesia,apalagi pengalaman kerja blm 25 tahun 😂😂",strata didik tidak kuasa bahasa binatang jin meter tidak mudah kerja indonesia alam kerja tidak,Positif
"gak usah jauh jauh , yang ngomong kan udah kaburajadulu duluan",tidak ngomong kaburajadulu duluan,Positif
"yg tidak nasionalis adalah orang2 dan lembaga2 yg MEMBUAT warga2 Indonesia menjadi KABUR AJA DULU, bahkan sy bilang mrk adalah IBLIS !!!",tidak nasionalis orang lembaga warga indonesia kabur bilang iblis,Negatif
lahir di indonesia = kalah lotre,lahir indonesia kalah lotre,Positif
"Sbnrnya Fenomena ini ngeri bang Hastag kabur aja dlu klo difahami sma org2 yg FOMO jdi kacau,nnti ada agent2 ilegal yg iming2i keluar negri nurut aja eh malah diculik djadiin admin judi online,fenomena ini berlangsung massive trutama di media Facebook",fenomena ngeri hastag kabur difahami sma org fomo kacau nnti ada agent ilegal iming negeri nurut culik djadiin admin judi online fenomena langsung massive utama media facebook,Negatif
Gak setuju bang Biar beda aja 🤣,tidak setuju beda,Negatif
setuju sama panji,setuju panji,Positif
setujuu bangg!! cant waitt in Surabayaa,setujuu bangg cant waitt surabayaa,Positif
Ntar kalo sukses atau berprestasi baru di naturalisasi sama wakanda.. 😁,sukses prestasi naturalisasi wakanda,Positif
ekonomi beneran susah? kok temen gua lancar aja yak,ekonomi beneran susah teman lancar,Negatif
"Mau nanya dong, kali aja ada yg bisa ngasih saran atau apa lah terserah. Mending nunggu DD mensrea rilis (kalo ada) atau nonton via streaming? Soalnya rumah gw jauh kemana"" dari lokasi stage nya🙏  Buat yg bilang ""mending dua-duanya"" gw sumpahin tiket lu kebakar jadi ga bisa nonton lu",kali ada saran serah mending tunggu mensrea rilis ada nonton via streaming rumah lokasi stage bilang mending sumpahin tiket bakar tidak nonton,Netral
"Loe aja sdh kabur duluan Bang Pandji... sy tahu alasan loe, yaitu utk masa depan anak loe yg lbh baik. Sy jg lakukan hal yg sama... 😅😅😅",kabur duluan pandji alas loe anak laku,Positif
"Klo menurut gua salah satu hasil sukses dari kabur aja dulu ada di sepak bola. Sekarang banyak ""produk asing"" yang berhasil mengangkat kualitas sepak bola kita sampai sejauh ini. Dan kita semua tau nasionalisme mereka seperti apa walau bukan lahir di negara kita tercinta ini. Semoga semakin banyak produk2 unggulan ini di bidang lain juga sehingga mengangkat negara ini menjadi lebih baik.",salah hasil sukses kabur ada sepak bola produk asing hasil angkat kualitas sepak bola nasionalisme tidak lahir negara cinta moga produk unggul bidang angkat negara,Positif
"Indonesia itu negara Anomali, luu mau sepinter apapun teori2 yg luu pelajari gk akan berlaku di Indonesia. Liat aja disaat negara2 lain memasukan hutang BUMN sebagai hutang negara di Indonesia hal itu tidak dimasukan sehingga hutangnya terlihat lebih sedikit yg berkisar 8.500T yg padahal menurut para ahli ekonomo hutang Indonesia sudah mencapai sekitar 20.000T.🤦🏻  Yg begini udah terlalu banyak untuk disebutin 1-1 menkeu kita aja yg dulu diperhitungkan di bank dunia sekarang malah terlihat b*d*h ketika menjabat sebagai menkeu🤦🏻",indonesia negara anomali sepinter teori ajar tidak laku indonesia lihat negara pasu hutang bumn hutang negara indonesia tidak masuk hutang lihat kisar ahli ekonomo hutang indonesia capai menkeu hitung bank dunia lihat jabat menkeu,Positif
Ingat Prabowo aja pernah kabur ke Yordania pulang bikin partai 😂...,prabowo kabur yordania pulang bikin partai,Positif
setuju ada tanya jawab untuk interaksi dengan audiens,setuju ada interaksi audiens,Netral
"Bang lu stop deh jelasin kaburajadlu in football term😂 soalnya di sepakbola konteksnya jadi beda 🙏🏼😅  Marselino ferdinan main di oxford div championship inggris. Apakah dia mau pulang ke indo klo ada gaji yg lebih gede? Keknya gak mau sih karna sekarang pun klo dia balik ke liga1, duitnya pasti lebih gede. Belum lagi iklanya banyak.. Tapi nyatanya dia milih struggle di inggris dgn gaji pas pas an😅",stop jelas kabur football term sepakbola konteks beda marselino ferdinan main oxford div championship inggris pulang indo ada gaji gede kayak tidak liga duit gede tidak iklanya nyata milih struggle inggris gaji pas pas,Positif
"saya bikin board game Waroong Wars Mas buat promosi kuliner Indonesia di Jerman, Belanda, UK, AS, dll :)",bikin board game waroong wars mas promosi kuliner indonesia jerman belanda dll,Netral
"ga disalahin kalo belom mau balik, lah negara ga bisa jamin keamanan ekonomi mereka,  udah bener kabur dulu ntar kalo negara udah sehat baru balik.",tidak disalahin bom negara tidak jamin aman ekonomi bener kabur negara sehat,Positif
Sipanji KAbur ke Amerika gak lama udah balik aja  ke indo . Kehabisan duit ya di Amerika 😆🤣,sipanji kabur amerika tidak indo habis duit amerika,Negatif
pemerintah buruk,pemerintah buruk,Positif
"hmm, imho ya, buat guaa better konten sila itu set nya di teras rumah ny bang.. trs openingnya ga jualan dulu, bahkan akan lbh nice kalo video jualan itu cut yg disisipin di akhir video, jadi saat lu ngomongin tentang sila, jiwa dan raga lu itu pure ngomongin topiknya dan jika ada selipan pun yg oot, itu tetap bisa relate dgn suasana hati/emosi viewers lu bang.. contohnya waktu lu cerita ttg makan gratis, itu bener2 buka pikiran bang, sudut pandang yg lu sajikan itu straight dan on point, it was fabulous. tapi video lu yg  ini, gua liatnya sih lu lagi dagang, pake gimik politik, and im not into this one because for me this is not sila. no hurt feeling btw, gua cuma viewer gratisan bang, ga tau isi konten yg berbayar spt apa krn ga mampu buat membership.. kalo ga berkenan dgn komen ini bole diignore/didelete. tengkyu tengkyu good luck",hmm imho guaa better konten sila set teras rumah openingnya tidak jual nice video jual cut disisipin video bicara sila jiwa raga pure bicara topik ada selip oot relate suasana hati emosi viewers contoh cerita makan gratis bener buka pikir sudut pandang saji straight point fabulous video lihat dagang pakai gimik politik one sila hurt feeling btw viewer gratis tidak isi konten bayar tidak membership tidak kenan komen bole diignore didelete terima kasih terima kasih good luck,Netral
"99% Pengikut kabur aja dulu dari kota besar yang seumur hidupnya gak pernah MERANTAU. Wkwkw, begitu sentralistiknya ekonomi kita, sampai mereka ga punya visi daerah lain juga ada peluang. Dari dulu Merantau itu konsepnya super sama gak ada bedanya. Makanya kalau mikir sedikit kabur aja bisa banget kok dari kota ke daerah lain. dari yang katanya sdm maju ke daerah yang sdm rendah, masa gak sukses?? Yang pasti Merantau itu baik banget, asal jangan dalam tempurung, Luar negeri mulu pemikirannya.",kabur kota umur hidup tidak rantau wkwkw sentralistiknya ekonomi tidak visi daerah ada peluang rantau konsep super tidak ada beda mikir kabur banget kota daerah sdm maju daerah sdm rendah tidak sukses rantau banget tidak tempurung luar negeri melulu pikir,Negatif
"27:56 ya Tuhan ini bener bgt. Dan parahnya kita bangga2in ""street smart"" itu sebagai ciri orang sukses, sementara yg book smart dianggep tolol, gak gaul, sampah masyarakat. Padahal street smart itu sering artinya lu tau harus nyogok preman yang mana, nyuap kepala dinas apa, gebukin anak siapa, rela dipalak sama siapa, dan ngefitnah siapa. Dan lebih brengseknya, 28:58 selalu dipake alasan sistem kita belum bagus, sistem di sana udah bagus karena bertahun2 kekerasan, penindasan, kolonialisme fafifuwasweswos. Jadi malah buat pembenaran supaya 'kolonialisme lokal' jalan terus & memfasilitasi orang2 yg ""street smart"" buat curang.",tuhan bener bgt parah bangga street smart ciri orang sukses book smart dianggep tolol tidak gaul sampah masyarakat street smart arti sogok preman nyuap kepala dinas gebukin anak rela palak ngefitnah brengsek pakai alas sistem tidak bagus sistem bagus keras tindas kolonialisme fafifuwasweswos kolonialisme lokal jalan fasilitas orang street smart curang,Positif
"Hashtag ini juga kayanya jadi rame setelah komunitas tech worker di indo make ini untuk share lowongan2 kerja di luar negri dan karena sampai tahun ini juga masih banyak layoff di perusahaan2 berbasis teknologi di indo dan penyerapan tenaga kerjanya juga menurun, jadi banyak mereka2 ini yg kena layoff dr  perusahaan2 ternama masih punya nilai jual diluar negri",hashtag rame komunitas tech worker indo make share lowong kerja luar negeri layoff usaha bas teknologi indo serap tenaga kerja turun kena layoff usaha nama nilai jual luar negeri,Positif
"saya aja kalo ada kesempatan ke eropa, brgkt saya...  indonesia saya cinta tp dg sistemnya nggk",ada eropa brgkt indonesia cinta sistem nggk,Positif
Panji yg udah kabur ke new york gmn nih? 😁,panji kabur new york gimana,Netral
"satu contoh aja, pak habibie yg dulunya presiden aja hidup di luar negeri saking kecewanya",contoh aja habibie dulunya presiden hidup luar negeri saking kecewa,Positif
"Kalau denger kata"" mas Pandji personally itu kaya ungkapan hati yang sulit keluar dari mulut. 👍trims mas",dengar mas pandji personally kaya hati sulit mulut trims mas,Positif
Korup korup korup Indo masih,korup korup korup indo,Positif
Iya aku jd tkw 15 thn diarab pas pulang  ' mau kerja lagi jadi prt jomplang banget gajinya   di LN part-time bisa dpt 10 jt di Indonesia  cuma buat mkn aja😢😢 itu juga tidak mencukupi,iya tkw arab pas pulang kerja prt jomplang banget gaji luar negeri part time juta indonesia makan aja tidak,Positif
"Gak kuliah, underqualified. Kuliah, job market penuh. Kuliah luar negeri/S2, overqualified dan gk ada yang mau/bisa bayar… ya itulah reality nya",tidak kuliah underqualified kuliah job market penuh kuliah luar negeri overqualified tidak ada bayar reality,Positif
"Setuju bang, biar sedikit interaktif",setuju interaktif,Netral
di sini pramugari aja korupsi uang taxi bang  wkwkwk,pramugari korupsi uang taxi hahaha,Positif
"Gue awalnya ketawa, sekarang gue ketawain diri sendiri, kenapa gue WNI 😂😂😂",ketawa ketawain wni,Positif
Setuju bang. Tp kayak bang radit aja bang bacain pertanyaan2 penonton gitu,setuju radit bacain tonton gitu,Netral
Mas pandji sendiri kan kabur juga ke new york... Hehehe,mas pandji kabur new york hehehe,Positif
"Saya asli bandung, abis lulus kuliah thn 92 langsung masuk pertamina. Banyak orang bilang enak ya jadi orang pertamina, tapi setelah 15 tahun, enough is enough!  Cape sama lingkungan yg sangat birokratis, penuh intrik politik dan koruptif. Akhirnya kabur ke Ausie, Alhamdulillah sudah ganti passport dari lambang garuda ke kangguru. Penghasilan ngga lebih tinggi dari pertamina, tapi hidup tenang, high quality of life dan good work balance. Anak2 pendidikan terjamin dan saya bisa banyak waktu buat mereka....Alhamdulillah wa syukurillah. Dibilang tdk nasionalis juga nggak apa2 deh..",asli bandung habis lulus kuliah langsung masuk pertamina orang bilang enak orang pertamina enough enough cape lingkung birokratis penuh intrik politik koruptif kabur ausie alhamdulillah ganti passport lambang garuda kangguru hasil tidak pertamina hidup tenang high quality life good work balance anak didik jamin alhamdulillah syukurillah bilang tidak nasionalis tidak,Positif
Stuju,setuju,Positif
"Buat apa nasionalis kalo perut lapar, ekonomi sulit. Persetan ama negeri ini, hiduplah dgn caramu!",nasionalis perut lapar ekonomi sulit persetan negeri hidup,Positif
Prabowo juga kabur aja dulu ke Yordania  Chuaaakss,prabowo kabur yordania chuaaakss,Positif
24:15 yang ga pernah merantau keluar beneran ga ngerti bagian ini. Hari gini masih banyak loh yang merasa indonesia itu disegani di seluruh dunia. Engga bukan orang miskin doang. Temen ane S2 ke Brimmingham bawa2 nama ITB dan sempat shock  kalau orang sono ga tau dan ga perduli benda apa itu indonesia apalagi ITB.,tidak rantau beneran tidak erti gin lho indonesia segani dunia tidak tidak orang miskin doang teman ane brimmingham bawa nama itb shock orang sono tidak tidak peduli benda indonesia itb,Positif
"Jadi inget ricky elson disuruh pulang buat selo tapi sia-sia, sekarang berjuang dari bawah lagi",ricky elson suruh pulang selo sia sia juang,Positif
"Sejatinya wni yang tinggal di luar negri, selain mencari rezeki yang lebih layak, juga pasti ingin mengharumkan nama Indonesia, gak mungkin sih kalau kata gua gak ada kepengenan seperti itu, cuman ya dengan sesuai kapasitas masing-masing.",sejati wni tinggal luar negri cari rezeki layak harum nama indonesia tidak tidak ada ken sesuai kapasitas,Netral
As the new gen (born in 1997). We do love Indonesia. We are just TIRED being led by dipshits and idiots.,new gen born love indonesia tired led dipshits idiots,Positif
"keadilan sosial bagi seluruh rakyat indonesia is like a myth mas, sila ke 5 adanya di singapura wkwk",adil sosial rakyat indonesia like myth mas sila ada singapura,Positif
"Kayaknya bukan masalah ada yang mendiskreditkan prabowo-gibran, tapi lebih ke akumulasi kekecewaan sama pemerintah selama (mungkin) lebih dari lima-sepuluh tahun. Still, emang gak bisa dipungkiri bakal ada yang diuntungkan/ingin ngeganggu pemerintahan dari prabowo-gibran",tidak ada diskredit prabowo gibran akumulasi kecewa pemerintah puluh still emang tidak dipungkiri ada untung ngeganggu perintah prabowo gibran,Positif
kek sodara wa. dapet beasiswa keluar negeri dr pemerintah. bener2 sampe beres kuliah. dah gitu disuruh pulang dan dianggurin hampir 1 tahun. sampe akhirnya tanya sama mantan atasannya yg diluar negeri dan di ajak kerja lagi di sana. akhir cerita dia ngutang ke bbrp orang untuk membayar biaya beasiswanya agar bisa bebas kerja diluar. ga sampe 2 tahun beres itu utang ke orang2. dan hidupnya sudah lumayan skrg. biarlah mereka keluar untuk mencari nafkah disana toh secara devisanya pun balik ke indonesia. yg bikin masalah di kita itu. untuk kerjaan2 sederhana aja syaratnya terlalu tinggi. karena apa? karena untuk lulus dr univ di sini itu terlalu gampang. hampir semua univ disini mementingkan kecepatan lulus dari univ dibandingkan kompetennya lulusan. dah gitu pemerintah memberi beasiswa dengan syarat balik ke indonesia. tapi tidak menyiapkan pekerjaan - pekerjaan apa yg harus dilakukan setelah lulus. masak habis selesai kuliah disuruh pulang tapi dianggurkan begitu saja tanpa ada penghasilan hampir 1 tahun. 1 lagi kalo ini temen. dia sudah diundang balik ke indo untuk kerja di bumn. eh begitu pulang ternyata slotnya sudah terisi oleh orang lain. yg usut punya usut ternyata salah satu keluarga dr manajernya.,saudara beasiswa negeri pemerintah bener beres kuliah gitu suruh pulang dianggurin mantan luar negeri ajak kerja cerita hutang bbrp orang bayar biaya beasiswa bebas kerja luar tidak beres utang orang hidup lumayan skrg cari nafkah devisa indonesia bikin kerja sederhana syarat lulus univ gampang univ cepat lulus univ banding kompeten lulus gitu pemerintah beasiswa syarat indonesia tidak kerja kerja laku lulus masak habis selesai kuliah suruh pulang anggur tidak ada hasil temen undang indo kerja bumn pulang nyata slotnya isi orang usut usut nyata salah keluarga manajer,Positif
Pak Prabowo kabur juga dulu😅😅😅,prabowo kabur,Positif
"Lulusan keperawatan di Indo gk kepake di Canada, pilihanya harus kuliah lagi atau kerja serabutan lainnya",lulus awat indo tidak pakai canada pilihanya kuliah kerja serabutan,Negatif
"Kenapa mesti pakai kata ""dulu"" ya? Kesannya kaburnya ga niat bgt gitu, kaya mau balik lagi. Ga semua yg pergi keluar pasti berhasil dan hidupnya jd lebih baik.. Kalo bilang mau kabur tuh jadinya beban bgt dan bakal malu nanti kalo balik lagi ke Indonesia dan dalam keaadan tidak sukses.. Kita harus belajar dari pengalaman bang Panji di New York",mesti pakai kesan kabur tidak niat banget gitu kaya tidak pergi hasil hidup bilang kabur beban banget malu indonesia keaadan tidak sukses ajar alam panji new york,Negatif
KABUR AJA DULU karena INDONESIA GELAP,kabur indonesia gelap,Positif
Bang pandji.. Pertamina dikorupsi lagi.. Beritanya muncul tadi pagi. Siapa tau bang pandji mau bahas..  Kita sebagai rakyat cuma menunggu pemerintah segera luluskan UU tipikor,pandji pertamina korupsi berita muncul pagi pandji bahas rakyat tunggu pemerintah lulus tipikor,Netral
Konoha crisis social distortion !!,konoha crisis social distortion,Positif
"Indonesia kalau masyarakat miskin nya bisa healing menikmati fasilitas negara seperti MRT , jembatan layang , museum dll  ,10 tahun sekali saja artinya kiamat sudah terjadi .",indonesia masyarakat miskin healing nikmat fasilitas negara mrt jembatan layang museum dll arti kiamat,Positif
Kabur aja dulu untuk cari kerja di luar negeri itu bagus untuk merubah nasib,kabur cari kerja luar negeri bagus rubah nasib,Positif
KABUR AJA DULU LEBIH KE GA USAH BINGUNG HIDUP DI LUAR NEGARA INDONESIA YG PENTING KABUR AJA DULU ... ITU SIH BAGI GW,kabur tidak bingung hidup luar negara indonesia kabur,Positif
"22:05 ""keadilan sosial bagi seluruh rakyat indonesia, tapi kan masih cita-cita"" ugghhh nyelekit tuh kata-katanya Bang Pandji~ 🤭🤭",adil sosial rakyat indonesia cita cita ugghhh nyelekit pandji,Positif
Lapangan kerja terbatas begitu ada lapangan kerja itupun pke ordal. Preeetlah asudahlah,lapang kerja batas ada lapang kerja pke ordal preeetlah asudahlah,Positif
"Sama kayak saya yang udah lama ngerantau ke jakarta dari salatiga, udah ngerasain gimana luasnya peluang kerja di jakarta, salary yang lebih bagus, fasum lebih memadai, trus pas pengen balik lagi kerja di salatiga mikirin UMR nya ga ada setengahnya jakarta, fasum yang sangat apa adanya, tentu saya milih mending bertahan di jakarta. Itu baru perbandingan salatiga jakarta, masih satu negara, gimana yang udah beda negara.",ngerantau jakarta salatiga gimana luas peluang kerja jakarta bagus fasilitas pas ken kerja salatiga pikir umr tidak ada jakarta fasilitas ada milih mending tahan jakarta banding salatiga jakarta negara gimana beda negara,Positif
"DANG! menilai kecintaan indonesia cetek, liatnya dari atas ampe bawah pake baju indo pake baju batik tp KORUP!",dang nilai cinta indonesia cetek lihat pakai baju indo pakai baju batik korup,Positif
"Pejabat di Indonesia sebagian besar unik ya, generasi bloomers tapi rasa gen z, gak tahan sama kritik, mungkin hanya 9% yg legowo menanggapi saran & kritik",jabat indonesia unik generasi bloomers gen tidak tahan kritik legowo tanggap saran kritik,Positif
"program bayangan pak presiden agar merasakan kabur aja dulu seperti beliau dan berhasil di posisi sekarang ini, gerrr",program bayang presiden kabur beliau hasil posisi gerrr,Positif
"Jangankan levels atas mas Panji, level TKW sj mereka ibu2 lebih betah diLN drpd di tanah ibu pertiwi. Sama2 ngosek WC,sama2 cuci baju,gosok baju, masak dll dll  gaji diLN puluhan juta (minim 7jt)  Kalo diDN gaji mentok 3 atw 5jt.  Dgn gaji besar ibu2 bs sejahterakan klrg, sandang pangan tercukupi. Papan (bangun rumah ) impian. sekolahin anak sampe sarjana,  dll dll Memang perih dan gelap hari2 dilewati tnpa kumpul keluarga. Tapi demi sebuah harapan smg masa depan anak2 lebih cerah dpr ibunya.",jangan levels mas panji level tkw betah luar negeri tanah pertiwi ngosek cuci baju gosok baju masak dll dll gaji luar negeri puluh juta minim gaji mentok gaji sejahtera klrg sandang pangan papan bangun rumah impi sekolah anak sarjana dll dll perih gelap tnpa kumpul keluarga buah harapan smg anak cerah dpr,Positif
"pemerintah memantau perkembangannya para warga nya diluar.terbukti profesor stela karir bagus di panggil pulang untuk terlibat revisi pendidikan,atau bikin mereka mau kalau pensiun di Indonesia. para pensiun taruh ikn seperti florida rata2 tinggal di sana pensiunan orang yang merantau.",pemerintah pantau kembang warga luar bukti profesor stela karir bagus panggil pulang libat revisi didik bikin pensiun indonesia pensiun taruh ikn florida tinggal pensiun orang rantau,Netral
"Gue inget kata-kata dari Prof Bagus Muljadi. Beliau bilang kalau harusnya nasionalisme itu ditunjukan ke luar bukan dipaksakan ke dalam.  Nasionalisme itu ditunjukan dari tindakan kita kepada orang luar atau saat di wilayah negara lain. Bukan memaksakannya ke dalam negeri, memaksa orang beli produk lokal, memaksa pakai bahasa indonesia dan sebagainya.",prof bagus muljadi beliau bilang nasionalisme luar tidak paksa nasionalisme tindak orang luar wilayah negara tidak paksa negeri paksa orang beli produk lokal paksa pakai bahasa indonesia,Positif
sebenarnya kita tdk miskin cmn salah  tempat dan tanggal lahir aja. tuhan menciptakan kita di tempat random dn hanya di bekali akal.,tidak miskin salah tanggal lahir aja tuhan cipta random bekal akal,Positif
"Apakah masih disebut""kabur"" jika diumumkan 🤔",kabur,Netral
"35:08 Masih mengamati, karena masih peduli. Pernyataan ini biasanya dicounter-attack dengan ""KTP mu ngendi, cuk?"" Kartu truf kebanggaan orang Yogya saat ada orang yang mengkritik kondisi kota mereka. Aneh.",peduli nyata dicounter attack ktp ngendi cuk kartu truf bangga orang yogya ada orang kritik kondisi kota aneh,Positif
"pernah kenal sama pak awal uzhara, sutradara dan 'eksil' 65 yg puluhan tahun tidak bisa pulang ke indonesia karena dianggap PKI, beliau pergi ke uni sovyet tahun 50an bareng sjumandjaja dan baru bisa pulang tahun 2012. nyamain sama gen z kelas menengah yg mau kabur ke luar negeri sama nasib2 eksil 65 mah gak elok sih, orang2 seperti pak awal itu gak kabur aja dulu, mereka diusur, diburu, diancam dibunuh kalo pulang.  terserah lah yah orang2 kaya dan kelas menengah berprivilage ini mau kabur kemanapun, tp ya sadar privialage aja, berapa gelintir orang yg bener2 bisa kabur keluar negeri sementara sisanya terpaksa mendekap seumur hidup di negara sialan ini. gausah gegayaan seolah2 klean eksil politik 65/98  kalo lo beneran bisa kabur keluar negeri dengan keadaan yg 'penuh privilage', dalam arti dapet kerjaan bagus , pergi ke negara yg bagus, dah punya penghidupan yg bagus, alih2 jadi buruh migran yg disiksa di taiwan atau uni emirat. besar kemungkinan bapak lo yg kaya jg yg bikin keadaan indonesia jd seburuk ini begini wkw  gw paham sih kenapa banyak orang yg nyinyirin hastag tsb, bukan karena embel2 gak nasionalis ato apa yah, tp lebih ke kesel aja, tipikal orang2 kaya yg mau kabur sendirian setelah bikin semuanya hancur.  kelas menengah mau kaburajadulu ke luar negeri, orang kaya mau kaburajadulu ke mars, padahal yg ngerusakin dunia kalian kalian jg.",kenal uzhara sutradara eksil puluh tidak pulang indonesia anggap pki beliau pergi uni sovyet bareng sjumandjaja pulang nyamain gen kelas kabur luar negeri nasib eksil tidak elok orang tidak kabur usur buru ancam bunuh pulang serah yah orang kaya kelas berprivilage kabur sadar privialage aja gelintir orang bener kabur negeri sisa paksa dekap umur hidup negara sial tidak gegayaan olah eksil politik beneran kabur negeri ada penuh privilage arti kerja bagus pergi negara bagus hidup bagus alih buruh migran siksa taiwan uni emirat kaya bikin ada indonesia buruk wkw paham orang nyinyirin hastag tsb tidak embel tidak nasionalis yah kesel aja tipikal orang kaya kabur bikin hancur kelas kaburajadulu luar negeri orang kaya kaburajadulu mars ngerusakin dunia,Negatif
Dulu kebanyakan yg kabur adl WN keturunan. Tp sekarang semua WN yang berpikir jernih.,kabur warga negara turun warga negara pikir jernih,Positif
setujuuuuuuuuuuuuuuuuuuuuuuuuuuu,setujuuuuuuuuuuuuuuuuuuuuuuuuuuu,Positif
